x,y,z,intensity,inputLabIndex,spotRadius2D,spotRadius3D,spheroidCenter_1,spheroidCenter_2,spheroidCenter_3,contourDist,contourDistUnit,imageId
1,405,27,3445.49,0,0,0,0,0,0,0,0,1
1,654,0,1918.977,0,0,0,0,0,0,0,0,1
4,717,6,4422.379,0,0,0,0,0,0,0,0,1
10,1042,24,2468.194,0,0,0,0,0,0,0,0,1
21,871,7,3548.613,0,0,0,0,0,0,0,0,1
22,810,32,3052.172,0,0,0,0,0,0,0,0,1
31,737,5,4327.872,0,0,0,0,0,0,0,0,1
32,885,4,5580.351,0,0,0,0,0,0,0,0,1
36,721,7,4594.732,0,0,0,0,0,0,0,0,1
36,871,6,2699.564,0,0,0,0,0,0,0,0,1
36,899,7,3247.654,0,0,0,0,0,0,0,0,1
40,393,30,4303.485,0,0,0,0,0,0,0,0,1
42,878,4,2814.527,0,0,0,0,0,0,0,0,1
43,685,2,2841.437,0,0,0,0,0,0,0,0,1
44,424,29,4056.038,0,0,0,0,0,0,0,0,1
48,705,9,6341.025,0,0,0,0,0,0,0,0,1
51,904,10,2277.558,0,0,0,0,0,0,0,0,1
51,952,2,3893.577,0,0,0,0,0,0,0,0,1
59,637,3,5225.498,0,0,0,0,0,0,0,0,1
60,833,19,5573.315,0,0,0,0,0,0,0,0,1
64,403,40,4796.142,11,69.4375258775829,69.4375258775829,106,436,40,6.708204,8.720665,1
66,649,3,7809.066,0,0,0,0,0,0,0,0,1
67,1209,0,3423.108,0,0,0,0,0,0,0,0,1
74,676,17,2275.611,0,0,0,0,0,0,0,0,1
80,767,38,2860.989,0,0,0,0,0,0,0,0,1
91,722,8,3256.532,0,0,0,0,0,0,0,0,1
91,752,4,5738.928,0,0,0,0,0,0,0,0,1
92,949,38,2734.656,0,0,0,0,0,0,0,0,1
94,1116,24,2070.642,0,0,0,0,0,0,0,0,1
95,550,45,2414.764,0,0,0,0,0,0,0,0,1
98,1164,13,2372.035,0,0,0,0,0,0,0,0,1
100,951,28,3324.873,0,0,0,0,0,0,0,0,1
102,538,6,6032.32,0,0,0,0,0,0,0,0,1
103,857,26,2938.641,0,0,0,0,0,0,0,0,1
104,592,11,2896.652,0,0,0,0,0,0,0,0,1
106,784,43,2736.399,0,0,0,0,0,0,0,0,1
113,507,12,2828.989,0,0,0,0,0,0,0,0,1
116,582,0,5362.287,0,0,0,0,0,0,0,0,1
121,928,19,3562.893,0,0,0,0,0,0,0,0,1
133,488,32,4126.165,11,76.1693507915093,110.461622294804,106,436,40,1,1.3,1
133,538,46,2786.436,0,0,0,0,0,0,0,0,1
137,828,23,5484.674,0,0,0,0,0,0,0,0,1
142,846,22,4027.324,35,36.0501040220413,41.2263265402097,154,871,24,12.80625,16.64812,1
144,1020,8,6521.709,0,0,0,0,0,0,0,0,1
147,1045,13,2655.236,0,0,0,0,0,0,0,0,1
150,889,21,3218.558,35,23.9708155889615,38.4005208298013,154,871,24,18.97367,24.66576,1
154,914,2,6981.999,0,0,0,0,0,0,0,0,1
155,1054,16,3475.483,0,0,0,0,0,0,0,0,1
169,511,42,4382.602,0,0,0,0,0,0,0,0,1
169,821,35,2335.696,0,0,0,0,0,0,0,0,1
173,602,35,2930.155,0,0,0,0,0,0,0,0,1
174,1094,0,3608.192,0,0,0,0,0,0,0,0,1
176,1018,0,3743.068,0,0,0,0,0,0,0,0,1
185,751,14,3257.363,0,0,0,0,0,0,0,0,1
189,530,39,2194.326,0,0,0,0,0,0,0,0,1
197,675,29,2216.762,22,98.009999489848,98.5188306873361,267,647,28,4.24264,5.515433,1
197,810,6,2569.55,0,0,0,0,0,0,0,0,1
202,1230,9,3552.066,0,0,0,0,0,0,0,0,1
208,773,16,3231.145,0,0,0,0,0,0,0,0,1
211,584,18,3872.857,20,23.0360586906702,46.1590727809821,206,567,22,4,5.2,1
213,615,28,3514.798,22,81.6002450976711,81.6002450976711,267,647,28,6.082763,7.907591,1
213,737,21,3396.282,0,0,0,0,0,0,0,0,1
213,758,15,4744.363,0,0,0,0,0,0,0,0,1
217,669,7,3008.154,22,71.0138014754879,221.682114749927,267,647,28,24.20744,31.46967,1
222,747,20,2190.198,0,0,0,0,0,0,0,0,1
223,823,5,3239.642,0,0,0,0,0,0,0,0,1
224,1193,16,6077.409,0,0,0,0,0,0,0,0,1
236,760,18,3957.383,0,0,0,0,0,0,0,0,1
241,638,22,4102.601,22,35.7677228797138,69.8522011106307,267,647,28,40.81666,53.06166,1
247,726,18,3291.039,0,0,0,0,0,0,0,0,1
247,1036,30,2759.09,0,0,0,0,0,0,0,0,1
252,819,47,4208.949,0,0,0,0,0,0,0,0,1
252,975,19,5277.336,0,0,0,0,0,0,0,0,1
264,1215,1,3434.134,0,0,0,0,0,0,0,0,1
266,469,14,3287.927,0,0,0,0,0,0,0,0,1
268,894,42,2512.759,0,0,0,0,0,0,0,0,1
273,1224,0,3443.458,0,0,0,0,0,0,0,0,1
274,673,23,5158.111,22,35.0035712463743,61.0348261241072,267,647,28,45.45327,59.08926,1
278,595,24,4970.675,22,69.0959477827752,79.8389002930276,267,647,28,25,32.5,1
295,1031,8,2271.432,0,0,0,0,0,0,0,0,1
300,931,39,3541.734,0,0,0,0,0,0,0,0,1
303,488,29,3618.444,0,0,0,0,0,0,0,0,1
314,685,27,3862.109,22,78.5720688285602,79.2058709945166,267,647,28,7.615773,9.900505,1
318,653,0,4975.295,22,66.7572467976324,287.848102303976,267,647,28,16.64332,21.63631,1
333,629,26,6083.573,22,88.9336831577328,91.1548133671503,267,647,28,5.385165,7.000714,1
338,147,11,7501.295,0,0,0,0,0,0,0,0,1
341,941,10,2482.466,0,0,0,0,0,0,0,0,1
343,904,28,5131.007,0,0,0,0,0,0,0,0,1
352,944,9,8062.638,0,0,0,0,0,0,0,0,1
353,244,27,2719.214,0,0,0,0,0,0,0,0,1
358,655,1,2927.254,0,0,0,0,0,0,0,0,1
360,903,9,6498.244,0,0,0,0,0,0,0,0,1
362,1024,5,3061.709,0,0,0,0,0,0,0,0,1
364,935,8,3732.164,0,0,0,0,0,0,0,0,1
369,1073,13,3340.342,0,0,0,0,0,0,0,0,1
375,1028,4,3393.225,0,0,0,0,0,0,0,0,1
381,912,4,2463.478,0,0,0,0,0,0,0,0,1
387,868,14,4109.201,0,0,0,0,0,0,0,0,1
391,915,4,3255.823,0,0,0,0,0,0,0,0,1
394,683,12,4890.441,0,0,0,0,0,0,0,0,1
394,877,15,2227.276,0,0,0,0,0,0,0,0,1
395,987,7,2848.59,0,0,0,0,0,0,0,0,1
397,931,26,3015.549,0,0,0,0,0,0,0,0,1
399,1101,17,1902.35,0,0,0,0,0,0,0,0,1
407,818,32,3113.359,0,0,0,0,0,0,0,0,1
408,1077,13,2391.623,0,0,0,0,0,0,0,0,1
409,460,13,2618.901,0,0,0,0,0,0,0,0,1
420,709,14,3304.01,0,0,0,0,0,0,0,0,1
421,938,4,2961.064,0,0,0,0,0,0,0,0,1
425,697,16,3964.614,0,0,0,0,0,0,0,0,1
425,913,5,3586.204,0,0,0,0,0,0,0,0,1
428,370,32,8369.577,0,0,0,0,0,0,0,0,1
436,1241,5,2871.018,0,0,0,0,0,0,0,0,1
440,718,11,3567.546,0,0,0,0,0,0,0,0,1
441,931,1,3053.04,0,0,0,0,0,0,0,0,1
447,1015,20,2409.76,0,0,0,0,0,0,0,0,1
449,803,23,5599.094,0,0,0,0,0,0,0,0,1
456,940,0,4542.83,0,0,0,0,0,0,0,0,1
458,455,15,2822.617,0,0,0,0,0,0,0,0,1
461,800,26,4712.365,0,0,0,0,0,0,0,0,1
461,883,48,2015.061,0,0,0,0,0,0,0,0,1
461,1074,6,3926.013,47,38.3885399566068,223.324159015544,487,1088,28,5.09902,6.628726,1
466,818,29,5156.113,0,0,0,0,0,0,0,0,1
476,1062,8,3680.845,47,36.7005449550821,203.339445263333,487,1088,28,6,7.8,1
480,260,36,4750.082,0,0,0,0,0,0,0,0,1
481,867,13,2531.877,0,0,0,0,0,0,0,0,1
488,895,5,3589.345,0,0,0,0,0,0,0,0,1
488,1032,11,2593.457,0,0,0,0,0,0,0,0,1
490,951,7,2815.679,0,0,0,0,0,0,0,0,1
490,1150,18,2725.549,0,0,0,0,0,0,0,0,1
493,560,5,2100.865,0,0,0,0,0,0,0,0,1
494,1029,12,2538.962,0,0,0,0,0,0,0,0,1
494,1166,23,2224.687,0,0,0,0,0,0,0,0,1
495,533,31,5469.558,0,0,0,0,0,0,0,0,1
496,926,45,3134.57,0,0,0,0,0,0,0,0,1
500,954,0,3004.473,0,0,0,0,0,0,0,0,1
501,1013,15,2820.068,0,0,0,0,0,0,0,0,1
502,883,46,3149.975,0,0,0,0,0,0,0,0,1
